Continent,Region,Country,Country Code,Year,CRIMINALITY,CRIMINAL MARKETS,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,CRIMINAL ACTORS,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,RESILIENCE,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,,
Africa,Central Africa,Gabon,GAB,2021,4.90,4.80,5.5,5.5,4.5,8.5,7.0,3.0,2.5,2.5,4.0,5.0,5.00,1.0,5.0,8.0,6.0,3.17,2.0,2.0,5.0,4.0,3.0,4.5,4.5,2.0,2.0,3.0,3.5,2.5,,
Africa,West Africa,Gambia,GMB,2021,4.83,5.15,7.0,5.0,2.5,7.0,3.5,4.5,4.5,6.5,7.0,4.0,4.50,1.0,6.5,6.5,4.0,5.00,5.0,5.0,4.5,5.0,5.0,5.5,6.5,5.5,5.5,2.5,3.5,6.5,,
Africa,West Africa,Ghana,GHA,2021,6.01,6.15,6.5,5.0,5.0,6.5,6.0,7.5,6.0,6.5,5.5,7.0,5.88,3.0,6.5,7.5,6.5,5.38,5.5,5.5,6.5,5.0,5.0,4.5,6.0,6.0,6.0,3.5,4.0,7.0,,
Africa,West Africa,Guinea,GIN,2021,5.20,5.15,7.0,3.0,6.0,4.5,6.0,6.5,2.5,7.0,4.5,4.5,5.25,1.0,5.0,8.0,7.0,2.83,2.0,3.0,4.0,3.5,3.0,3.5,3.0,3.0,3.0,1.5,1.5,3.0,,
Africa,West Africa,Guinea-Bissau,GNB,2021,5.45,4.90,5.5,2.5,5.5,8.5,5.5,1.0,5.0,8.0,5.5,2.0,6.00,1.0,8.0,8.5,6.5,2.42,2.0,2.5,3.0,3.0,3.0,3.0,3.0,2.5,1.5,1.0,1.5,3.0,,
Africa,East Africa,Kenya,KEN,2021,6.95,6.65,7.5,7.0,7.5,6.0,7.0,7.0,7.5,6.0,6.5,4.5,7.25,7.0,7.5,8.0,6.5,5.21,5.0,4.5,7.0,6.0,5.5,4.5,6.0,6.0,5.0,3.0,3.5,6.5,,
Africa,Southern Africa,Lesotho,LSO,2021,3.90,3.55,4.0,3.0,3.0,1.0,2.5,5.5,3.5,5.5,4.5,3.0,4.25,1.0,5.0,6.0,5.0,3.67,4.0,3.5,6.0,5.5,3.0,3.0,2.5,5.0,3.0,2.5,2.0,4.0,,
Africa,West Africa,Liberia,LBR,2021,5.05,5.10,6.0,3.0,4.5,5.5,6.0,6.5,5.0,5.5,6.0,3.0,5.00,3.0,6.0,6.0,5.0,3.17,3.5,3.0,3.0,3.0,3.5,4.0,4.0,3.0,4.0,1.0,2.0,4.0,,
Africa,North Africa,Libya,LBY,2021,6.55,6.10,9.5,8.0,9.5,1.0,3.5,8.5,2.5,4.0,7.5,7.0,7.00,8.0,7.5,8.5,4.0,1.54,1.5,1.5,2.5,2.0,1.5,1.5,1.5,1.0,2.0,1.0,1.0,1.5,,
Africa,Southern Africa,Madagascar,MDG,2021,5.59,5.30,6.0,3.0,4.5,7.5,7.0,7.5,7.0,2.5,6.0,2.0,5.88,4.0,5.0,7.5,7.0,3.38,4.0,2.0,3.0,4.0,3.0,3.5,5.0,5.0,2.0,2.0,4.0,3.0,,
