Continent,Region,Country3,Country Code,Year,Criminality Score,Criminal Markets Score,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drugs trade,Criminal Actors Score,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Resilience Score,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Africa,Central Africa,Gabon,GAB,2019,4.68,4.85,6.0,6.0,4.5,8.0,7.0,3.0,2.5,2.5,4.0,5.0,4.50,1.0,3.5,7.5,6.0,2.71,2.0,2.0,4.0,3.5,3.0,4.0,4.5,2.0,2.0,1.0,2.0,2.5
Africa,West Africa,Gambia,GMB,2019,4.61,5.10,7.0,4.5,4.0,7.0,4.0,5.0,5.0,6.0,6.0,2.5,4.13,1.0,6.5,7.0,2.0,4.63,4.0,6.0,4.0,4.5,4.5,5.0,6.0,5.0,5.0,2.5,3.0,6.0
Africa,West Africa,Ghana,GHA,2019,4.89,5.15,4.0,4.5,3.0,4.5,4.0,7.5,6.0,5.5,7.0,5.5,4.63,1.0,6.0,6.5,5.0,5.46,6.0,5.0,6.0,5.5,5.0,6.0,6.0,6.0,6.5,3.0,4.0,6.5
Africa,West Africa,Guinea,GIN,2019,5.39,5.15,6.5,3.5,6.0,4.5,5.5,7.5,3.0,7.5,4.5,3.0,5.63,1.5,5.5,8.5,7.0,2.75,1.5,3.0,4.0,3.5,3.0,3.0,3.0,3.0,3.0,1.5,1.5,3.0
Africa,West Africa,Guinea-Bissau,GNB,2019,4.99,4.35,3.0,2.5,4.5,8.0,5.5,1.0,5.0,7.0,5.0,2.0,5.63,1.5,7.5,7.5,6.0,2.67,2.5,2.0,4.0,4.0,3.0,3.5,3.0,2.5,1.5,1.0,1.0,4.0
Africa,East Africa,Kenya,KEN,2019,6.14,5.65,6.0,6.0,7.0,4.0,6.5,6.0,7.0,4.0,6.0,4.0,6.63,6.0,7.0,7.5,6.0,5.04,5.5,4.0,6.5,7.0,5.0,6.0,5.0,5.5,5.5,2.0,1.5,7.0
Africa,Southern Africa,Lesotho,LSO,2019,3.65,3.05,3.0,2.5,5.5,1.0,3.0,5.0,2.5,1.5,3.5,3.0,4.25,1.0,5.0,6.0,5.0,3.58,4.0,3.5,5.0,5.5,3.0,3.0,2.5,5.0,3.0,2.5,2.0,4.0
Africa,West Africa,Liberia,LBR,2019,4.84,5.55,6.0,3.0,6.5,7.0,6.0,7.0,5.5,5.0,6.5,3.0,4.13,1.0,5.5,6.0,4.0,3.83,4.5,3.0,5.5,4.5,3.5,4.0,4.0,3.5,4.0,1.0,2.5,6.0
Africa,North Africa,Libya,LBY,2019,6.26,5.90,9.5,8.0,8.5,1.0,2.0,8.5,2.5,3.5,8.0,7.5,6.63,8.0,6.5,8.0,4.0,2.13,1.0,2.5,2.5,2.0,2.5,4.0,2.0,1.0,3.0,1.0,1.0,3.0
Africa,Southern Africa,Madagascar,MDG,2019,5.38,5.00,5.0,3.0,5.0,8.0,8.0,7.5,4.5,2.5,5.0,1.5,5.75,4.0,3.5,7.5,8.0,3.25,4.0,2.5,2.0,5.5,3.0,3.0,4.0,4.5,3.0,1.0,3.0,3.5
